Date,Platform,Post Type,Post Content,Hashtags,Likes,Comments,Shares,Follows,Reach
2024-08-01,Facebook,Video,Tutorial,#launch,68,186,22,1,3398
2024-08-02,Instagram,Text,Industry News,#event,987,66,49,17,8992
2024-08-03,Instagram,Text,Product Launch,#launch,638,105,45,48,9216
2024-08-04,Instagram,Text,Product Launch,#testimonial,154,65,12,1,6606
2024-08-05,LinkedIn,Image,Product Launch,#event,526,187,49,18,2895
2024-08-06,Instagram,Video,Behind the Scenes,#news,844,29,43,6,7188
2024-08-07,Twitter,Text,Event Promo,#news,240,60,73,44,5605
2024-08-08,Facebook,Video,Product Launch,#launch,194,124,57,31,7591
2024-08-09,Twitter,Image,Event Promo,#news,426,140,63,43,1319
2024-08-10,Facebook,Video,Product Update,#update,760,87,93,39,3122
2024-08-11,Twitter,Story,Behind the Scenes,#launch,199,127,42,1,3767
2024-08-12,YouTube,Text,Product Launch,#behindthescenes,290,199,70,8,6696
2024-08-13,YouTube,Video,Customer Testimonial,#event,350,195,99,16,3488
2024-08-14,YouTube,Image,Product Launch,#behindthescenes,708,42,28,28,2771
2024-08-15,YouTube,Image,Event Promo,#update,683,15,81,48,1330
2024-08-16,Facebook,Story,Product Update,#news,396,134,85,36,5867
2024-08-17,Instagram,Link,Event Promo,#behindthescenes,531,74,66,38,4130
2024-08-18,Facebook,Link,Product Update,#news,599,171,9,28,3483
2024-08-19,YouTube,Story,Product Update,#event,449,191,52,8,6253
2024-08-20,Facebook,Link,Behind the Scenes,#testimonial,721,142,99,48,3067
2024-08-21,Twitter,Image,Tutorial,#launch,366,112,81,26,5860
2024-08-22,LinkedIn,Image,Tutorial,#behindthescenes,858,78,51,27,5413
2024-08-23,Facebook,Image,Product Update,#tutorial,410,159,99,48,9723
2024-08-24,Twitter,Story,Behind the Scenes,#launch,135,106,67,49,3659
2024-08-25,YouTube,Text,Event Promo,#news,819,8,67,40,5012
2024-08-26,Facebook,Text,Event Promo,#event,868,116,41,46,7204
